id,servicio,costo,codigo,fecha
129.0,mantenimiento piscina,60000.0,uh-srv02,2026-01-01
271.0,internet fibra,60000.0,uh-srv02,2026-03-02
333.0,portería 24/7,250000.0,uh-srv02,2026-01-28
206.0,mantenimiento piscina,60000.0,uh-srv04,2026-01-17
459.0,internet fibra,60000.0,uh-srv02,2026-03-14
469.0,mantenimiento piscina,150000.0,uh-srv02,2026-01-01
172.0,administración ph,80000.0,uh-srv04,2026-02-17
477.0,internet fibra,150000.0,uh-srv02,2026-02-05
366.0,administración ph,150000.0,uh-srv01,2026-03-11
61.0,mantenimiento piscina,60000.0,uh-srv02,2026-02-08
118.0,administración ph,60000.0,uh-srv04,2026-03-26
238.0,internet fibra,80000.0,uh-srv01,2026-03-26
132.0,mantenimiento piscina,250000.0,uh-srv02,2026-01-26
265.0,portería 24/7,150000.0,uh-srv02,2026-01-01
408.0,mantenimiento piscina,150000.0,uh-srv01,2026-01-15
434.0,mantenimiento piscina,60000.0,uh-srv03,2026-01-26
279.0,mantenimiento piscina,60000.0,uh-srv01,2026-01-15
210.0,portería 24/7,60000.0,uh-srv02,2026-01-14
449.0,portería 24/7,80000.0,uh-srv02,2026-03-15
345.0,internet fibra,60000.0,uh-srv02,2026-01-23
399.0,internet fibra,60000.0,uh-srv02,2026-02-26
97.0,administración ph,80000.0,uh-srv04,2026-01-29
145.0,mantenimiento piscina,80000.0,uh-srv04,2026-01-12
295.0,administración ph,80000.0,uh-srv04,2026-01-06
372.0,internet fibra,250000.0,uh-srv03,2026-02-02
451.0,mantenimiento piscina,60000.0,uh-srv01,2026-01-16
59.0,mantenimiento piscina,150000.0,uh-srv02,2026-01-01
71.0,mantenimiento piscina,80000.0,uh-srv02,2026-01-08
174.0,mantenimiento piscina,80000.0,uh-srv04,2026-01-01
230.0,portería 24/7,250000.0,uh-srv03,2026-01-27
158.0,administración ph,80000.0,uh-srv04,2026-03-07
462.0,administración ph,150000.0,uh-srv02,2026-03-03
97.0,mantenimiento piscina,80000.0,uh-srv01,2026-03-28
303.0,portería 24/7,60000.0,uh-srv01,2026-03-11
173.0,administración ph,150000.0,uh-srv04,2026-01-17
487.0,portería 24/7,60000.0,uh-srv04,2026-01-06
95.0,portería 24/7,150000.0,uh-srv02,2026-01-01
